,epoch,train_time,eval_time,train_loss,eval_loss,eval_accuracy,optimal_eval_loss,optimal_eval_accuracy
0,1,66.58494114875793,3.2852301597595215,4.557524,4.175670623779297,"tensor(0.5710, dtype=torch.float64)",0.35795466627947764,0
1,2,66.34628081321716,3.3784728050231934,3.9666796,3.9040040969848633,"tensor(0.5840, dtype=torch.float64)",0.35795466627947764,"tensor(0.5710, dtype=torch.float64)"
2,3,65.80863308906555,3.3870275020599365,3.6300168,3.821643114089966,"tensor(0.5935, dtype=torch.float64)",0.35795466627947764,"tensor(0.5840, dtype=torch.float64)"
3,4,65.21853971481323,3.2813212871551514,3.8057365,3.76159930229187,"tensor(0.6085, dtype=torch.float64)",0.35795466627947764,"tensor(0.5935, dtype=torch.float64)"
4,5,65.94232559204102,3.283700466156006,3.6055868,3.7321674823760986,"tensor(0.6100, dtype=torch.float64)",0.35795466627947764,"tensor(0.6085, dtype=torch.float64)"
5,6,65.66422486305237,3.282097816467285,3.8377538,3.7050211429595947,"tensor(0.6125, dtype=torch.float64)",0.35795466627947764,"tensor(0.6100, dtype=torch.float64)"
6,7,65.42201375961304,3.345623731613159,3.5893607,3.686232328414917,"tensor(0.6110, dtype=torch.float64)",0.35795466627947764,"tensor(0.6125, dtype=torch.float64)"
7,8,64.97221231460571,3.458320140838623,3.8630044,3.6689631938934326,"tensor(0.6100, dtype=torch.float64)",0.35795466627947764,"tensor(0.6125, dtype=torch.float64)"
8,9,67.88589143753052,3.4644768238067627,4.092889,3.6509692668914795,"tensor(0.6110, dtype=torch.float64)",0.35795466627947764,"tensor(0.6125, dtype=torch.float64)"
9,10,70.33000636100769,3.64835786819458,3.5732057,3.612203359603882,"tensor(0.6110, dtype=torch.float64)",0.35795466627947764,"tensor(0.6125, dtype=torch.float64)"
10,11,70.66133666038513,3.613102436065674,3.7017317,3.5591814517974854,"tensor(0.6620, dtype=torch.float64)",0.35795466627947764,"tensor(0.6125, dtype=torch.float64)"
11,12,67.86597657203674,3.3658061027526855,3.955424,3.5069327354431152,"tensor(0.6745, dtype=torch.float64)",0.35795466627947764,"tensor(0.6620, dtype=torch.float64)"
12,13,67.06243562698364,3.5866570472717285,3.768002,3.474841833114624,"tensor(0.6775, dtype=torch.float64)",0.35795466627947764,"tensor(0.6745, dtype=torch.float64)"
13,14,67.9660120010376,3.3321123123168945,3.8045466,3.476358652114868,"tensor(0.6750, dtype=torch.float64)",0.35795466627947764,"tensor(0.6775, dtype=torch.float64)"
14,15,67.4741108417511,3.3407633304595947,3.7199924,3.4309308528900146,"tensor(0.6820, dtype=torch.float64)",0.35795466627947764,"tensor(0.6775, dtype=torch.float64)"
15,16,65.63714075088501,3.2730631828308105,3.4897337,3.431067943572998,"tensor(0.6835, dtype=torch.float64)",0.35795466627947764,"tensor(0.6820, dtype=torch.float64)"
16,17,65.5928807258606,3.406947135925293,3.4352465,3.4780399799346924,"tensor(0.6720, dtype=torch.float64)",0.35795466627947764,"tensor(0.6835, dtype=torch.float64)"
17,18,65.18254685401917,3.263003349304199,3.5057888,3.4421262741088867,"tensor(0.6820, dtype=torch.float64)",0.35795466627947764,"tensor(0.6835, dtype=torch.float64)"
18,19,65.66094493865967,3.2767975330352783,3.3528957,3.4410345554351807,"tensor(0.6875, dtype=torch.float64)",0.35795466627947764,"tensor(0.6835, dtype=torch.float64)"
19,20,65.37046122550964,3.2924275398254395,3.6731262,3.3908164501190186,"tensor(0.7000, dtype=torch.float64)",0.35795466627947764,"tensor(0.6875, dtype=torch.float64)"
20,21,65.60384917259216,3.342397689819336,3.6180868,3.419127941131592,"tensor(0.6895, dtype=torch.float64)",0.35795466627947764,"tensor(0.7000, dtype=torch.float64)"
21,22,65.36101388931274,3.3800530433654785,3.6301012,3.3849716186523438,"tensor(0.7005, dtype=torch.float64)",0.35795466627947764,"tensor(0.7000, dtype=torch.float64)"
22,23,65.49424695968628,3.5079152584075928,3.3808482,3.430593729019165,"tensor(0.6835, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
23,24,72.5523407459259,3.588360548019409,3.4171834,3.4241065979003906,"tensor(0.6835, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
24,25,72.78506469726562,3.5765318870544434,3.4498627,3.4058001041412354,"tensor(0.6910, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
25,26,72.69499111175537,3.6131043434143066,3.180883,3.3915939331054688,"tensor(0.6960, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
26,27,72.39462757110596,3.6788439750671387,3.666899,3.3827292919158936,"tensor(0.6990, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
27,28,71.91012048721313,3.7725231647491455,3.4895875,3.34633731842041,"tensor(0.7060, dtype=torch.float64)",0.35795466627947764,"tensor(0.7005, dtype=torch.float64)"
28,29,66.8093831539154,3.269944429397583,3.0708141,3.3720860481262207,"tensor(0.7020, dtype=torch.float64)",0.35795466627947764,"tensor(0.7060, dtype=torch.float64)"
29,30,65.14112663269043,3.268882989883423,3.702356,3.417428731918335,"tensor(0.6875, dtype=torch.float64)",0.35795466627947764,"tensor(0.7060, dtype=torch.float64)"
30,31,65.0975615978241,3.267484664916992,3.3125262,3.3634493350982666,"tensor(0.7100, dtype=torch.float64)",0.35795466627947764,"tensor(0.7060, dtype=torch.float64)"
31,32,64.98225975036621,3.2964518070220947,3.4548583,3.344724178314209,"tensor(0.7065, dtype=torch.float64)",0.35795466627947764,"tensor(0.7100, dtype=torch.float64)"
32,33,64.74046301841736,3.335981607437134,3.2256696,3.3794379234313965,"tensor(0.7075, dtype=torch.float64)",0.35795466627947764,"tensor(0.7100, dtype=torch.float64)"
33,34,65.10463094711304,3.2675974369049072,3.1974742,3.4810376167297363,"tensor(0.6845, dtype=torch.float64)",0.35795466627947764,"tensor(0.7100, dtype=torch.float64)"
34,35,65.18155860900879,3.273756504058838,3.4303446,3.333571195602417,"tensor(0.7095, dtype=torch.float64)",0.35795466627947764,"tensor(0.7100, dtype=torch.float64)"
35,36,65.15645098686218,3.2734086513519287,3.2251751,3.3642120361328125,"tensor(0.7045, dtype=torch.float64)",0.35795466627947764,"tensor(0.7100, dtype=torch.float64)"
