,epoch,train_time,eval_time,train_loss,eval_loss,optimal_eval_loss
0,1,29.72084951400757,1.1850624084472656,6.2326207,6.2636494636535645,0.35795466627947764
1,2,29.321239948272705,1.082364797592163,7.175729,5.727850914001465,0.35795466627947764
2,3,29.478939294815063,1.1370737552642822,5.3902836,5.433116912841797,0.35795466627947764
3,4,29.48591947555542,1.1175098419189453,5.6240582,5.163779258728027,0.35795466627947764
4,5,29.533262729644775,0.9745903015136719,6.5123734,4.986714839935303,0.35795466627947764
5,6,29.929184198379517,1.4661529064178467,5.362294,5.027348041534424,0.35795466627947764
6,7,31.567011833190918,1.2612009048461914,5.846627,4.969265937805176,0.35795466627947764
7,8,32.42989420890808,1.3434274196624756,5.871912,5.047259330749512,0.35795466627947764
8,9,32.99595308303833,1.2753937244415283,5.26719,4.745937347412109,0.35795466627947764
9,10,29.51802158355713,1.2782936096191406,5.4161463,5.031424045562744,0.35795466627947764
10,11,30.03614091873169,1.2265024185180664,4.169497,4.741231918334961,0.35795466627947764
11,12,30.576695203781128,1.2281556129455566,5.3133698,5.329685688018799,0.35795466627947764
12,13,30.289949417114258,1.2508137226104736,5.7779503,4.837407112121582,0.35795466627947764
13,14,31.821969985961914,1.3796055316925049,4.2768855,4.742165565490723,0.35795466627947764
14,15,31.601093530654907,1.2622904777526855,5.7106566,4.859865188598633,0.35795466627947764
15,16,32.05612587928772,1.3342561721801758,4.366617,4.64608907699585,0.35795466627947764
16,17,32.52474117279053,1.3417160511016846,5.2566366,5.251610279083252,0.35795466627947764
17,18,33.18037748336792,1.2667057514190674,4.7845535,4.816220760345459,0.35795466627947764
18,19,31.623807191848755,1.2499110698699951,5.402302,4.694289684295654,0.35795466627947764
19,20,29.918879508972168,1.2551696300506592,4.8907914,4.7320427894592285,0.35795466627947764
20,21,29.74098300933838,1.2503561973571777,4.8988895,4.604861259460449,0.35795466627947764
21,22,29.97518014907837,1.2839844226837158,4.6456766,4.896378040313721,0.35795466627947764
22,23,30.595669984817505,1.347766637802124,5.192412,4.5889787673950195,0.35795466627947764
23,24,33.83057641983032,1.348926067352295,5.206168,4.685360431671143,0.35795466627947764
24,25,31.33677363395691,1.0976173877716064,4.848398,4.698977470397949,0.35795466627947764
25,26,32.3135347366333,1.3576881885528564,5.479541,4.682606220245361,0.35795466627947764
26,27,32.946595668792725,1.0583651065826416,5.9107027,4.591102123260498,0.35795466627947764
27,28,33.3317334651947,1.1753194332122803,4.8018875,4.731416702270508,0.35795466627947764
28,29,47.349181175231934,1.4708621501922607,4.221701,4.6647114753723145,0.35795466627947764
